question,answer,intent
Squeeze technique is used for?,Retrograde ejaculation,general_faq
Which of the following malignancy is associated with underlying progression and spreads characteristically in a stepwise fashion and hence staging the disease is an impoant prognostic factor? -,Hodgkin's lymphoma,general_faq
Commonest cause of hea failure in infancy is ________,Myocarditis,general_faq
"High environmental temperature, best step for malaria control-",Remove breeding place,general_faq
Lysosomal transpo defect is seen in,Cystinosis,general_faq
Maximum increase in prolactin level is caused by:-,Risperidone,general_faq
Which of the following are situated away from the coding region:,Promoter,general_faq
Mondors disease is:,Migratory thrombophlebitis seen in pancreatic Ca,general_faq
A patient presented with multiple vesicles over the body with fish net like IgG deposition in the epidermis. Most likely diagnosis is –,Pemphigus vulgaris,general_faq
"In the beginning of resuscitation effos, 0.5 mg of epinephrine is administered subcutaneously. Which adrenergic receptors, in which tissues, are responsible for the beneficial effect of epinephrine in this patient?","Alpha-1 receptors in vascular smooth muscle, alpha-2 receptors in the hea, and beta-1 receptors in bronchial smooth muscle",general_faq
"A 47-year-old man suddenly develops high fever and hypotension. He has a generalized erythematous macular rash, and over the next day, develops gangrene of his left leg. Which of the following is the most likely organism?",Corynebacterium diphtheriae,general_faq
Acute osteomyelitis can best be distinguished from soft tissue infection by –,Clinical examination,general_faq
Auditory hallucinations are seen in except:,Schizophrenia,general_faq
Fatty acid found exclusively in breast milk is:-,Linoleic acid,general_faq
Not characteristic feature of granuloma ?,Chronic inflammatory infiltrate,nutrition_advice
Fundoscopic features of papilledema include all the following except -,Ill- defined disc margin,medicine_info
Which of the following decreases in length during the contraction of a skeletal muscle fiber?,A band of the sarcomere,general_faq
All are true about halothane except -,Tachycardia,general_faq
What is the most common site of an accessory spleen?,Greater curvature of the stomach,general_faq
All of the following are the risk factors for carcinoma gallbladder except:,Primary sclerosing cholangitis,general_faq
Absense of taste sensation is termed as:,Hypogeusia,general_faq
Halting a disease at its incipient stages and preventing its complications is known as:,Primordial prevention,general_faq
Standard in perimetry ?,Goldman type I,general_faq
Bronchial artery supplies all except:,Bronchus,general_faq
Xylitol affects the MS stains by:,Reduced adhesion are seen.,general_faq
True about 1gM:,Is dimeric,general_faq
Which enzyme level is tested in thiamine deficiency?,PDH,general_faq
Which carrier pump is transpoing solutes in thick ascending limb of Henle loop?,Carrier pump Na-K-2Cl transpoer.,general_faq
Which of the following radio of Iodine is used for thyroid scan: September 2008,1-123,general_faq
Cells seen at the function between two layers ofplacenta are?,Hofbauer cell,general_faq
Lardaceous spleen is due to deposition of amyloid in:,Sinusoids of red pulp,general_faq
"A 45 year old male presented with palpitations, tachycardia & anxiety. His BP is 158/90 mmHg. The patient also has mild depression and is presently taking citalopram, labetalol & amlodipine to control his blood pressure. 24-hour urine total metanephrines are ordered and show an elevation of 1.5 times the upper limit of normal. What is the next best step?",Hold labetalol for 1 week and repeat testing,general_faq
Black eye is a type of -,Patterend abrasion,general_faq
Deleterious effect of ultrasound on small organism is:,Ionisation,general_faq
Which testicular tumor produces feminizing symptoms?,Seminoma,symptoms_diagnosis
Which of the following anaesthetic agent does not cause hypotension on injection ?,Ketamine,general_faq
The main types of muscle cells are,Skeletal and cardiac,general_faq
Male-female differentiation of fetus occurs at,2-4 weeks,general_faq
True about neuropraxia,Prolongatinon of conduction velocity,general_faq
Complications of tuberular meningitis include all except-,Hydrocephalus,general_faq
All are features of hyperparathyroidism except?,Increase serum calcium,nutrition_advice
"The deltoid ligament is a strong ligament. It is attached to all of the following structures, EXCEPT?",Medial malleolus,general_faq
NiTi alloy shows superelasticity through:,Conversion from Austenite to Martensite phase,general_faq
Which of the following drugs should NOT be used in the setting of severe hypeension in elderly on empirical basis?,Enalapril,medicine_info
Bulge sign in knee joint is seen after how much fluid accumulation-,100 ml,general_faq
Simple squamous epithelium is seen in,Blood vessels,general_faq
Which of the following disease modifying anti–rheumatic drugs (DMARDs) is the drug of first choice ?,Methotrexate,medicine_info
Which of the following types of pancreatitis has the best prognosis,Alcoholic pancreatitis,nutrition_advice
All the following are radiological features of Chronic Cor pulmonale except-,Kerley B lines,nutrition_advice
Ujjwala is for -,Child abuse,general_faq
Palpable purpura is seen in –,PAN,general_faq
Arlts line is seen in,Vernal keratoconjunctis,general_faq
Best diagnosis for dissecting aoa is:,CT scan,general_faq
"Id, ego, superego are terms coined by ?",Sigmand Freud,general_faq
'Dropped shoulder' occurs due to paralysis of -,Deltoid,general_faq
"Which of the following anticancer drug can result in ""disulfiram reaction""",Lomustine,medicine_info
"All the following metabolic may cause chronic or recurrent abdominal pain, except -",Acute intermittent prophyria,symptoms_diagnosis
Schizophrenia is treated by:,Anti depressants,nutrition_advice
Complex polysaccharides are converted to glucose and absorbed by the help of:,Na+k+ATPase,general_faq
All of the following are advantages of LMA Except,More reliable than face mask,general_faq
The following are predisposing factors for Esophageal carcinoma except,Plummer-Vinson syndrome,general_faq
Amount of chlorine needed to kill cyclops in drinking water is: September 2007,3 ppm,general_faq
Which of the following statements is wrong regarding hematoma,MRI needed to access haematoma,general_faq
A 56-year-old woman has not passed stools for the last 14 days. Xray shows no air fluid levels. Probable diagnosis is -,Paralytic ileus,general_faq
All of the following drugs act by blocking calcium channels except:,Dantrolene,medicine_info
Which of the following is the most common renal vascular anomaly -,Supernumerary renal arteries,general_faq
"In organophosphorous poisoning, following are seen except -",Pupillary dilatation,general_faq
Amino acid required for formation of thyroxine-,Tryptophan,general_faq
"In which of the following immunodeficiencies, this chest X-ray finding is usually seen?",Wiskott-Aldrich syndrome,general_faq
"Which is the following is not inherited as X-linked recessive: March 2005, September 2012, March 2013",G-6-PD deficiency,general_faq
"The operative procedure is known as ""microfracture"" is done for the",Delayed union of femur.,treatment_procedure
The goal of NRR=1 can be best achieved by use of following contraceptive methods -,Condom 72/year,general_faq
Injectable tetanus toxoid (TT ) is an example of:,Active immunity,general_faq
Which fruit juice helps in preventing UTI:,Grape,general_faq
"A 30 year old lady c/o sudden onset breathlessness, anxiety, palpitation & feeling of impending doom. Physical examination is normal. What is the diagnosis -",Panic attack,nutrition_advice
A pregnant woman of >35 weeks gestation has SLE. All of the following drugs are used in treatment except:,Methotrexate,medicine_info
Barbed broach is used for:,Extirpation of pulp,general_faq
Doppelganger is-,Shadow following person,general_faq
In CEAP clinical classification what does C-4b indicate,Edema,general_faq
Puerperal sepsis is due to spread of Infection along which route :,Direct extension,general_faq
Measures involved in sentinel surveillance includes all of the following except.,Identifying missing cases in notification of diseases,general_faq
The true statement about the epidemiology of H.pylori is :,In developed world 80 % of population is affected before the age of 20,general_faq
Transitional epithelium is present in -,Renal pelvis,general_faq
Mac Callum plaques in rheumatic hea disease are,Left atrium,general_faq
All are true regarding folliculogensis and ovulation except,Follicular development and differentiation takes about 85 days,general_faq
"A patient with Hepatitis C, exhibits hypo-complimentemia with 2 gm/day protein uria and hematuria. The most probable diagnosis is",MPGN,general_faq
A 'case' in TB is defined as -,X-ray positive,general_faq
"An athletic male with itchy lesion at groin as shown below, causative agent can be all EXCEPT:",Trichophyton,general_faq
Which of the following statements about fluconazole is most accurate?,It is highly effective in the treatment of aspergillosis,general_faq
"Venous return to hea during quiet standing is facilitated by all of the following factors, except",Calfmuscle contraction during standing,general_faq
